Command	Sensor Right	Sensor Left	All	CR	OR	OL	CL	Offset	EL	FL	ER	FR	MR	ML
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1	0	0	1	0	0	0	0	0	0	0	0	0	0	0
1	0	0	1.2	0.5	0	0	0.5	0	0	0	0	0	0	0
1	0	0	1.24	0.6	0	0	0.6	0	0	0.2	0	0.2	0	0
1	0	0	1.248	0.62	0	0	0.62	0	0	0.26	0	0.26	0.05	0.05
1	0	0	1.2496	0.624	0	0	0.624	0	0	0.274	0	0.274	0.065	0.065
1	0	0	1.24992	0.6248	0	0	0.6248	0	0	0.277	0	0.277	0.0685	0.0685
1	0	0	1.249984	0.62496	0	0	0.62496	0	0	0.27762	0	0.27762	0.06925	0.06925
1	0	0	1.249997	0.624992	0	0	0.624992	0	0	0.277746	0	0.277746	0.069405	0.069405
1	0	0	1.249999	0.624998	0	0	0.624998	0	0	0.277771	0	0.277771	0.069436	0.069436
1	0	0	1.25	0.625	0	0	0.625	0	0	0.277776	0	0.277776	0.069443	0.069443
1	0	0	1.25	0.625	0	0	0.625	0	0	0.277778	0	0.277778	0.069444	0.069444
1	0	0	1.25	0.625	0	0	0.625	0	0	0.277778	0	0.277778	0.069444	0.069444
1	0	0	1.25	0.625	0	0	0.625	0	0	0.277778	0	0.277778	0.069444	0.069444
1	0	0	1.25	0.625	0	0	0.625	0	0	0.277778	0	0.277778	0.069444	0.069444
1	0	0	1.25	0.625	0	0	0.625	0	0	0.277778	0	0.277778	0.069444	0.069444
1	0	0	1.25	0.625	0	0	0.625	0	0	0.277778	0	0.277778	0.069444	0.069444
1	0	0	1.25	0.625	0	0	0.625	0	0	0.277778	0	0.277778	0.069444	0.069444
1	0	0	1.25	0.625	0	0	0.625	0	0	0.277778	0	0.277778	0.069444	0.069444
1	0	0	1.25	0.625	0	0	0.625	0	0	0.277778	0	0.277778	0.069444	0.069444
1	0	0	1.25	0.625	0	0	0.625	0	0	0.277778	0	0.277778	0.069444	0.069444
1	0	0	1.25	0.625	0	0	0.625	0	0	0.277778	0	0.277778	0.069444	0.069444
1	0	0	1.25	0.625	0	0	0.625	0	0	0.277778	0	0.277778	0.069444	0.069444
1	0	0	1.25	0.625	0	0	0.625	0	0	0.277778	0	0.277778	0.069444	0.069444
1	0	0	1.25	0.625	0	0	0.625	0	0	0.277778	0	0.277778	0.069444	0.069444
1	0	0	1.25	0.625	0	0	0.625	0	0	0.277778	0	0.277778	0.069444	0.069444
1	0	0	1.25	0.625	0	0	0.625	0	0	0.277778	0	0.277778	0.069444	0.069444
1	0	0	1.25	0.625	0	0	0.625	0	0	0.277778	0	0.277778	0.069444	0.069444
1	0	0	1.25	0.625	0	0	0.625	0	0	0.277778	0	0.277778	0.069444	0.069444
1	0	0	1.25	0.625	0	0	0.625	0	0	0.277778	0	0.277778	0.069444	0.069444
1	0	0	1.25	0.625	0	0	0.625	0	0	0.277778	0	0.277778	0.069444	0.069444
1	0	0	1.25	0.625	0	0	0.625	0	0	0.277778	0	0.277778	0.069444	0.069444
1	0	0	1.25	0.625	0	0	0.625	0	0	0.277778	0	0.277778	0.069444	0.069444
1	0	0	1.25	0.625	0	0	0.625	0	0	0.277778	0	0.277778	0.069444	0.069444
1	0	0	1.25	0.625	0	0	0.625	0	0	0.277778	0	0.277778	0.069444	0.069444
